Job Name,Salary Description,Skills,City Name,Job Degree,Job Experience,Brand name,BrandIndustry,WelfareList
物联网工程师,150-300元/天,"['C++', 'C', '计算机相关专业', 'Python']",淮安,大专,1-3年,江苏暖卡节能科技,新能源,[]
IOT物联网系统开发专员,5-6K,"['Java', 'C/C++', '计算机/软件工程相关经验', 'Java开发经验']",邵阳,大专,经验不限,兴昂国际,其他行业,"['宿舍有空调', '员工旅游', '绩效奖金', '带薪年假', '免费班车', '五险一金', '年终奖', '定期体检', '餐补', '工龄奖', '包住', '节日福利', '加班补助']"
IOT物联网系统开发专员,5-9K,"['C++', 'Python', 'Delphi', 'C++服务端开发经验', 'Qt项目开发经验', '计算机相关专业']",邵阳,大专,1-3年,邵阳连泰鞋业有限公司,服装/纺织,[]
物联网工程师,10-15K,"['计算机相关专业', 'C++服务端开发经验']",吴忠,大专,1-3年,北京植得,计算机软件,"['年终奖', '保底工资', '节假日加班费', '五险一金', '团建聚餐', '加班补助', '绩效奖金']"
专利工程师助理（软件/物联网）,4-9K,['自动化测试'],洛阳,本科,经验不限,润泽恒,检测/认证/知识产权,"['节日福利', '员工旅游', '年终奖', '定期体检', '五险一金', '补充医疗保险', '带薪年假', '零食下午茶', '餐补']"
C/C++开发工程师-智能物联网(A180101),7-12K,"['C++', 'C']",成都,本科,在校/应届,中科创达,计算机软件,"['全勤奖', '定期体检', '加班补助', '年终奖', '五险一金', '员工旅游', '交通补助', '餐补', '股票期权', '住房补贴', '节日福利', '带薪年假']"
测试工程师（物联网·可晋升研发）,4-6K,"['功能测试', '测试工程师', '硬件测试', '性能测试']",威海,大专,经验不限,精讯畅通,通信/网络设备,"['交通补助', '补充医疗保险', '生日福利', '包吃', '加班补助', '节日福利', '包住', '五险一金', '定期体检', '全勤奖', '餐补', '高温补贴', '意外险', '宿舍有空调', '有无线网']"
物联网IoT工程师,8-13K,"['C++', '通信相关专业', '嵌入式/单片机开发经验', '英语读写能力良好']",东莞,大专,经验不限,海月,电子/硬件开发,"['包住', '保底工资', '节日福利', '全勤奖', '夜班补助', '包吃', '五险一金', '工龄奖', '绩效奖金', '节假日加班费', '年终奖']"
物联网软件工程师,4-6K,"['JavaScript', 'HTML5', 'CSS']",昆明,大专,在校/应届,明湖科技,通信/网络设备,"['绩效奖金', '员工旅游', '全勤奖', '五险', '团建聚餐', '五险一金', '带薪年假', '节日福利', '年终奖', '差旅补助', '项目奖']"
物联网开发工程师,4-9K,"['Java', 'C/C++', '计算机/软件工程相关经验', 'Java开发经验']",洛阳,大专,1-3年,弘京电子科技有限公司,计算机软件,"['工龄奖', '加班补助', '五险一金', '通讯补贴', '包住', '住房补贴', '全勤奖', '保底工资', '绩效奖金', '交通补助']"
物联网全栈工程师,10-11K,['全栈项目经验'],徐州,本科,1-3年,康福尔电子,电子/硬件开发,"['加班调休', '带薪年假', '节日福利', '五险', '底薪加提成', '绩效奖金']"
物联网工程师,4-8K,"['Python', 'C#']",丽水,大专,经验不限,峰云能源,通信/网络设备,['五险']
物联网开发工程师,5-7K,"['C#', 'C#开发经验', '.NET开发经验']",吴忠,大专,1-3年,宁夏菜师兄,农/林/牧/渔,['五险一金']
物联网专业实习生,150-200元/天,"['接受居家办公', 'Java', 'Python', 'Nginx', 'Docker', 'MySQL', 'Redis', 'MongoDB', '微服务经验', '物联网经验', 'ERP开发经验']",上海,本科,3-5年,上海善禾物联网,智能硬件,[]
