Job Name,Job Salary,Job Year,Job Area,Job Degree,Job label
物联网（AIoT）行业记者,1-1.5万,1年及以上,深圳·南山区,本科,"['行业编辑', '行业记者', 'aiot', '采访', '内容产出', '五险一金', '员工旅游', '年终奖金', '定期体检', '出国机会', '绩效奖金']"
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['模电', '滤波器', '霍尔', 'AD', 'PROTEL', 'CADENCE', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']"
物联网平台产品经理,8千-1.5万,1年及以上,深圳·龙岗区,大专,"['ui交互', 'Axure', '蓝湖', '原型图', '产品设计', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '社保', '员工生日']"
物联网工程师,1-1.2万,3-4年,上海·浦东新区,大专,"['培训', '计算机', 'java', 'mysql', '数据库', '电子', 'linux', '测试', 'springboot', 'redis', '五险一金', '定期体检', '绩效奖金']"
物联网行业分析师,8千-1.5万·16薪,1年及以上,深圳·南山区,大专,"['ai', '理工科', '芯片', '传感器', '行业分析', '市场调研报告', '白皮书', '产业分析', 'aiot', '图文输出', '五险一金', '员工旅游', '年终奖金', '定期体检', '出国机会', '绩效奖金']"
物联网解决方案产品经理,10-20万/年,3-4年,杭州·滨江区,本科,"['解决方案', '产品规划', '对接客户', '产品优化', '应用推广', '智能交通', '顶层设计', '智能照明', '把控质量', '业务发展策略', '带薪年假', '高温补贴', '绩效奖金', '做五休二']"
销售经理（物联网）,1-1.5万,2年,广州·番禺区,大专,"['五险一金', '通讯补贴', '绩效奖金', '年终奖金', '销售']"
物联网产品经理(J10556),1-1.7万,8年及以上,苏州·虎丘区,本科,"['补充医疗保险', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '弹性工作', '定期体检', '周末双休', '工作餐', '六险二金']"
物联网中台开发,8千-1.5万,1年及以上,厦门,本科,"['微服务分布式', '专业培训', '绩效奖金', '年终奖金', '五险一金', '弹性工作']"
结构工程师（物联网硬件，双休）,1.2-1.4万·13薪,1年及以上,深圳·龙华区,大专,"['传感器', '智能终端', '物联网硬件', '餐饮补贴', '周末双休', '五险一金', '带薪年假', '业绩奖金', '年终奖金', '节日福利', '定期体检', '员工旅游']"
物联网工程师,8千-1万·13薪,无需经验,上海·浦东新区,本科,"['专业培训', '定期体检', '餐饮补贴', '交通补贴', '五险一金']"
物联网开发工程师,1.5-2.8万·13薪,3年及以上,南京·溧水区,本科,"['物联网', '智能控制', 'ESP32', '五险一金', '年终奖金']"
物联网中台开发,8千-1.5万,1年及以上,厦门,本科,"['微服务分布式', '专业培训', '绩效奖金', '年终奖金', '五险一金', '弹性工作']"
物联网工程师,1-2万,4年及以上,上海·静安区,本科,"['计算机', '电子', 'linux', 'plc', '大数据', '技术方案', 'http', 'tcp', '物联网', '传感器', '五险一金', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检']"
物联网硬件工程师,8千-1.2万,5年及以上,沈阳·沈北新区,本科,"['调试', '软件开发', 'pcb', '项目开发', 'spi', 'tcp', '测试方案', 'i2c', '传感器', '免费班车', '包吃', '节日福利', '五险']"
嵌入式软件工程师（物联网方向）,1.5-3万,2年,深圳·坪山区,本科,"['物联网', '五险一金', '免费班车', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金']"
嵌入式软件工程师（物联网方向）,1.5-2.5万,3年及以上,上海·嘉定区,本科,"['嵌入式', '周末双休', '五险一金', '绩效奖金', '年终奖金', '专业培训', '节日福利']"
物联网硬件开发工程师,6千-1.2万·13薪,2年及以上,东莞·松山湖区,本科,"['计算机', '自动化', '示波器', '模拟电路', '数字电路', '大数据', '原理图设计', 'cadence', '云计算', '物联网', '五险一金']"
电子与物联网技术老师（计算机）,5千-1万,2年,清远·清城区,本科,"['授课', '系统开发', '电子信息工程', '通信工程', 'rfid', '软件编程', '职业教育', 'android应用', '物联网应用', '物联网工程', '节日福利', '五险一金', '餐饮补贴', '定期体检', '年终奖金', '免费班车', '绩效奖金', '专业培训', '企业年金', '带薪寒暑假']"
测试开发工程师（物联网）,1.3-2.5万·13薪,3年及以上,深圳·福田区,本科,"['测试', '功能测试', '性能测试', '英文', '压力测试', '硬件电路', 'hardware', 'testing', '团队测试', '日志记录', '五险一金', '绩效奖金', '年终奖金', '弹性工作']"
物联网平台工程师,1-2万·13薪,4年及以上,南京·玄武区,本科,"['五险一金', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检']"
物联网硬件开发工程师,6千-1.2万·13薪,2年及以上,东莞·松山湖区,本科,"['计算机', '自动化', '示波器', '模拟电路', '数字电路', '大数据', '原理图设计', 'cadence', '云计算', '物联网', '五险一金']"
销售工程师（物联网硬件）,5千-1万·13薪,1年,上海·闵行区,大专,"['餐饮补贴', '专业培训', '定期体检', '年终奖金', '五险一金', '全勤奖', '节日福利', '周年庆礼品', '销售提成', '开发客户', '客户关系维护', '回访', '开拓', '商务谈判', 'ppt演讲', '理工科', '销售', '行业客户']"
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['嵌入式硬件', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']"
物联网工程师,7千-1.4万,5-7年,无锡·梁溪区,本科,"['物联网', 'CAD', '电气自动化', '机电工程师', '五险一金', '年终奖金', '周末双休', '法定节假日', '员工福利']"
物联网销售经理,7千-1.4万,2年及以上,成都·郫都区,大专,"['五险一金', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '周末双休']"
物联网部署工程师,1.5-1.8万,1年及以上,南通·通州区,本科,"['施工', '调试', '竣工验收', '安装调试', '计算机网络', 'http', '技术指导', 'tcp', '系统集成', '设计交底', '五险一金', '员工旅游', '餐饮补贴', '年终奖金', '绩效奖金', '定期体检']"
测试开发工程师（物联网）,1.3-2.5万·13薪,3年及以上,深圳·福田区,本科,"['测试', '功能测试', '性能测试', '英文', '压力测试', '硬件电路', 'hardware', 'testing', '团队测试', '日志记录', '五险一金', '绩效奖金', '年终奖金', '弹性工作']"
智能化工程师（物联网平台）,1.2-2.4万,3年及以上,广州·南沙区,本科,"['scm', 'hkust', 'education', '物联网平台', '智能化工程师', 'iot', 'platform', 'science', 'moe', '五险一金', '补充医疗保险', '带薪年假', '试用期全额', '全额公积金']"
物联网后端工程师,1-1.8万·15薪,3年及以上,台州·温岭市,本科,"['五险一金', '交通补贴', '餐补']"
物联网I0T后端开发工程师,1-2万,3-5年,东莞·凤岗镇,本科,"['五险一金', '员工旅游', '专业培训', '年终奖金', '提供住宿', '生日福利', '下午茶']"
产品经理（物联网方向）,8千-1.3万,2年及以上,上海·松江区,本科,"['软件开发', '产品设计', '原型设计', '界面设计', '产品规划', '设计管理', '物联网', '测试流程', '开发文档', '技术开发', '五险一金', '免费班车', '绩效奖金', '定期体检', '带薪年假', '免费住宿', '餐补']"
电子与物联网技术老师（计算机）,5千-1万,2年,清远·清城区,本科,"['授课', '系统开发', '电子信息工程', '通信工程', 'rfid', '软件编程', '职业教育', 'android应用', '物联网应用', '物联网工程', '节日福利', '五险一金', '餐饮补贴', '定期体检', '年终奖金', '免费班车', '绩效奖金', '专业培训', '企业年金', '带薪寒暑假']"
