Job Name,Job Salary,Job Year,Job Area,Job Degree,Job label,Industry,Scale
物联网工程师,5-8千·13薪,无需经验,北京,大专,"['售前售后服务', '网络服务', '五险一金', '周末双休', '年终奖金']",['计算机服务(系统、数据服务、维修)'],['少于50人']
物联网（AIoT）行业记者,1-1.5万,1年及以上,深圳·南山区,本科,"['行业编辑', '行业记者', 'aiot', '采访', '内容产出', '五险一金', '员工旅游', '年终奖金', '定期体检', '出国机会', '绩效奖金']",['公关/市场推广/会展'],['50-150人']
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['模电', '滤波器', '霍尔', 'AD', 'PROTEL', 'CADENCE', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']",['电子技术/半导体/集成电路'],['50-150人']
物联网平台产品经理,8千-1.5万,1年及以上,深圳·龙岗区,大专,"['ui交互', 'Axure', '蓝湖', '原型图', '产品设计', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '社保', '员工生日']",['办公用品及设备'],['少于50人']
物联网解决方案产品经理,10-20万/年,3-4年,杭州·滨江区,本科,"['解决方案', '产品规划', '对接客户', '产品优化', '应用推广', '智能交通', '顶层设计', '智能照明', '把控质量', '业务发展策略', '带薪年假', '高温补贴', '绩效奖金', '做五休二']",['电子技术/半导体/集成电路'],['50-150人']
物联网行业分析师,8千-1.5万·16薪,1年及以上,深圳·南山区,大专,"['ai', '理工科', '芯片', '传感器', '行业分析', '市场调研报告', '白皮书', '产业分析', 'aiot', '图文输出', '五险一金', '员工旅游', '年终奖金', '定期体检', '出国机会', '绩效奖金']",['公关/市场推广/会展'],['50-150人']
销售经理（物联网）,1-1.5万,2年,广州·番禺区,大专,"['五险一金', '通讯补贴', '绩效奖金', '年终奖金', '销售']",['计算机服务(系统、数据服务、维修)'],['少于50人']
物联网产品经理(J10556),1-1.7万,8年及以上,苏州·虎丘区,本科,"['补充医疗保险', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '弹性工作', '定期体检', '周末双休', '工作餐', '六险二金']",['电子技术/半导体/集成电路'],['1000-5000人']
结构工程师（物联网硬件，双休）,1.2-1.4万·13薪,1年及以上,深圳·龙华区,大专,"['传感器', '智能终端', '物联网硬件', '餐饮补贴', '周末双休', '五险一金', '带薪年假', '业绩奖金', '年终奖金', '节日福利', '定期体检', '员工旅游']",['通信/电信/网络设备'],['50-150人']
物联网中台开发,8千-1.5万,1年及以上,厦门,本科,"['微服务分布式', '专业培训', '绩效奖金', '年终奖金', '五险一金', '弹性工作']",['计算机软件'],['少于50人']
物联网工程师,8千-1万·13薪,无需经验,上海·浦东新区,本科,"['专业培训', '定期体检', '餐饮补贴', '交通补贴', '五险一金']",['新能源'],['少于50人']
物联网开发工程师,1.5-2.8万·13薪,3年及以上,南京·溧水区,本科,"['物联网', '智能控制', 'ESP32', '五险一金', '年终奖金']",['家具/家电/玩具/礼品'],['50-150人']
物联网工程师,1-2万,4年及以上,上海·静安区,本科,"['计算机', '电子', 'linux', 'plc', '大数据', '技术方案', 'http', 'tcp', '物联网', '传感器', '五险一金', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检']",['互联网/电子商务'],['150-500人']
物联网中台开发,8千-1.5万,1年及以上,厦门,本科,"['微服务分布式', '专业培训', '绩效奖金', '年终奖金', '五险一金', '弹性工作']",['计算机软件'],['少于50人']
