Job Name,Salary Description,Skills,City Name,Job Degree
物联网工程师,150-300元/天,"['C++', 'C', '计算机相关专业', 'Python']",淮安,大专
IOT物联网系统开发专员,5-6K,"['Java', 'C/C++', '计算机/软件工程相关经验', 'Java开发经验']",邵阳,大专
IOT物联网系统开发专员,5-9K,"['C++', 'Python', 'Delphi', 'C++服务端开发经验', 'Qt项目开发经验', '计算机相关专业']",邵阳,大专
物联网工程师,10-15K,"['计算机相关专业', 'C++服务端开发经验']",吴忠,大专
专利工程师助理（软件/物联网）,4-9K,['自动化测试'],洛阳,本科
C/C++开发工程师-智能物联网(A180101),7-12K,"['C++', 'C']",成都,本科
测试工程师（物联网·可晋升研发）,4-6K,"['功能测试', '测试工程师', '硬件测试', '性能测试']",威海,大专
物联网软件工程师,4-6K,"['JavaScript', 'HTML5', 'CSS']",昆明,大专
物联网IoT工程师,8-13K,"['C++', '通信相关专业', '嵌入式/单片机开发经验', '英语读写能力良好']",东莞,大专
物联网全栈工程师,10-11K,['全栈项目经验'],徐州,本科
物联网开发工程师,5-7K,"['C#', 'C#开发经验', '.NET开发经验']",吴忠,大专
物联网工程师,4-8K,"['Python', 'C#']",丽水,大专
物联网开发工程师,4-9K,"['Java', 'C/C++', '计算机/软件工程相关经验', 'Java开发经验']",洛阳,大专
物联网软件开发工程师,5-7K,"['Java', 'Python', 'C#', 'MySQL', 'Redis', '不接受居家办公', '物联网经验', '上位机开发']",潍坊,大专
全栈工程师（物联网）,8-13K,"['物联网设备协议对接', '流媒体相关开发经验']",济南,大专
物联网工程师,6-9K,"['C++', 'C#']",资阳,本科
物联网,5-8K,"['C++', '物联网', 'Python']",淮安,本科
IOT物联网产品经理,8-12K,['运维管理'],中山,大专
物联网平台研发工程师,8-12K·13薪,"['Python', 'MySQL', '分布式经验', '物联网经验', '掌握 Scala 编程语言', '熟悉Redis、Kafka技术']",合肥,本科
物联网Java后端开发实习生,90-110元/天,"['Java', 'Spring', 'Elasticsearch', 'Netty', 'MySQL', 'Redis', '接受居家办公', '物联网经验']",南京,本科
IoT 网络安全产品审核员-检测认证服务,7-12K·13薪,"['计算机相关专业', '通信相关专业', '英语六级']",青岛,本科
物联网工程师,4-9K,"['安全集成/信息安全相关经验', '通信机房项目经验', '弱电系统集成经验', '系统集成项目管理工程师']",淮安,本科
物联网低代码开发实习生（杭州）,100-200元/天,"['Java', 'Spring', 'SpringCloud', 'MySQL', '物联网经验']",杭州,本科
物联网软件员,7-12K,"['Java', 'C#', '不接受居家办公', '架构设计经验', 'python']",苏州,学历不限
JAVA开发工程师（IOT平台）,6-11K·13薪,"['Java', 'Spring', 'JVM', 'MySQL', 'IOT开发']",台州,本科
产品经理（IOT/物联网/数据中台）,15-18K·13薪,"['IOT', '物联网', '数据中台']",杭州,本科
物联网平台设计,3-4K,"['接受居家办公', 'Java', 'C', 'C#', 'Spring', 'MyBatis', '其他', 'MySQL', 'Spark', '其他', '架构设计经验', '分布式经验', '物联网经验']",海口,本科
物联网IoT开发工程师,8-12K,"['嵌入式/单片机开发经验', '计算机相关专业']",上饶,大专
软件测试工程师（物联网）,6-9K,"['功能测试', '性能测试', '压力测试', 'Python', '通信相关专业', '计算机相关专业', '测试工作经验']",惠州,大专
IOT销售工程师,11-20K,"['客户开发与维护', '电子/半导体/集成电路', '智能硬件', '对机构 (To B) 销售经验', '智能照明/智能家电', 'IOT/物联网/matter', '智能家居/方案商/模组']",深圳,大专
物联网开发工程师,6-8K,"['C++', 'Java', '计算机相关专业', 'C++服务端开发经验', 'Qt项目开发经验']",沧州,本科
物联网工程师/小程序开发方向,8-12K,"['小程序', '混合app', 'JavaScript', 'HTML5', 'CSS', '计算机/软件工程相关专业', '原生app开发经验', '混合app开发经验', '物联网', '运营商', 'MQTT']",南昌,大专
IoT测试工程师(J10120),8-13K·15薪,"['嵌入式测试', '嵌入式测试']",厦门,本科
IoT(物联网)现场实施工程师,8-10K,"['计算机相关专业', 'PLC', '嵌入式', '系统集成项目经验']",杭州,本科
